,new_customer_idx,new_historical_existing_cnt
0,32160_Enterprise_-1,0
1,23122_Enterprise_12,1
2,1755_Enterprise_144,1
3,4919_Enterprise_-1,0
4,17126_Enterprise_-1,0
5,16328_SMB_-1,0
6,20664_SMB_-1,0
7,17983_SMB_-1,0
8,30867_Enterprise_3,1
9,6084_SMB_-1,0
10,15379_Enterprise_-1,0
11,31561_SMB_23,1
12,37134_Enterprise_-1,0
13,30294_SMB_-1,0
14,16481_Enterprise_-1,0
15,22897_SMB_-1,0
16,1901_SMB_-1,0
17,46362_SMB_47,1
18,28695_SMB_-1,0
19,8402_Enterprise_0,1
20,39910_SMB_-1,0
21,14295_SMB_-1,0
22,33229_Enterprise_-1,0
23,45122_SMB_-1,0
24,39810_SMB_-1,0
25,20437_Enterprise_1,1
26,12109_Enterprise_-1,0
27,44685_Enterprise_-1,0
28,4504_SMB_-1,0
29,29418_Enterprise_-1,0
30,42282_SMB_-1,0
31,22295_SMB_-1,0
32,981_Enterprise_-1,0
33,31698_Enterprise_1,1
34,22987_Enterprise_-1,0
35,46824_Enterprise_-1,0
36,17727_Enterprise_-1,0
37,41106_SMB_-1,0
38,14937_Enterprise_-1,0
39,10939_Enterprise_-1,0
40,3529_SMB_-1,0
41,26287_Enterprise_-1,0
42,19915_Enterprise_-1,0
43,35843_Enterprise_-1,0
44,27399_SMB_-1,0
45,34732_Enterprise_-1,0
46,21809_SMB_-1,0
47,30566_Enterprise_-1,0
48,39870_Enterprise_-1,0
49,42103_SMB_-1,0
50,47466_Enterprise_19,1
51,42158_SMB_-1,0
52,8342_SMB_0,1
53,2069_Enterprise_-1,0
54,2148_SMB_-1,0
55,38919_SMB_-1,0
56,26427_SMB_-1,0
57,13518_SMB_-1,0
58,37960_Enterprise_42,1
59,33704_SMB_0,1
60,27671_SMB_-1,0
61,1880_Enterprise_-1,0
62,33708_Enterprise_75,1
63,1879_Enterprise_-1,0
64,15894_Enterprise_0,1
65,27850_Enterprise_-1,0
